age,workclass,education,marital,occupation,gender,income
25-39,Private,High-School diploma,Single,Other-service,Female,<=50K
25-39,SELF,High-School diploma,Married,Farming-fishing,Male,>50K
40-55,Private,Bachelors,Single,Machine-op-inspct,Male,<=50K
40-55,Private,Associate/Prof,Married,Exec-managerial,Male,>50K
40-55,SELF,Associate/Prof,Married,Farming-fishing,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Male,<=50K
25-39,Private,X,Single,Exec-managerial,Female,<=50K
25-39,Private,Bachelors,Single,Craft-repair,Male,<=50K
40-55,SELF,Masters,Married,Exec-managerial,Male,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,SELF,High-School diploma,Single,Sales,Male,<=50K
40-55,Private,Bachelors,Married,Craft-repair,Male,<=50K
<25,GOV,Bachelors,Married,Protective-serv,Male,<=50K
<25,Private,High-School diploma,Single,Farming-fishing,Male,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Adm-clerical,Male,<=50K
25-39,Private,Bachelors,Married,Prof-specialty,Male,>50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
25-39,SELF,Bachelors,Married,Prof-specialty,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
56-67,Private,High-School diploma,Married,Sales,Male,<=50K
25-39,GOV,Bachelors,Single,Exec-managerial,Male,<=50K
<25,Private,X,Single,Craft-repair,Male,<=50K
40-55,GOV,Associate/Prof,Married,Protective-serv,Male,>50K
40-55,Private,High-School diploma,Married,Exec-managerial,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
25-39,Private,Bachelors,Single,Other-service,Female,<=50K
40-55,GOV,Associate/Prof,Married,Protective-serv,Male,>50K
56-67,SELF,High-School diploma,Married,Farming-fishing,Male,<=50K
25-39,Private,Associate/Prof,Married,Machine-op-inspct,Male,>50K
<25,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
25-39,Private,X,Married,Transport-moving,Male,<=50K
56-67,SELF,High-School diploma,Married,Sales,Male,<=50K
40-55,Private,Bachelors,Single,Handlers-cleaners,Male,<=50K
56-67,Private,Associate/Prof,Married,Craft-repair,Male,>50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Male,<=50K
40-55,SELF,Bachelors,Married,Exec-managerial,Male,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,Bachelors,Married,Sales,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
25-39,Private,High-School diploma,Married,Machine-op-inspct,Male,<=50K
40-55,Private,Bachelors,Single,Machine-op-inspct,Male,<=50K
25-39,Private,High-School diploma,Single,Sales,Female,<=50K
40-55,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
56-67,Private,Bachelors,Married,Sales,Male,<=50K
40-55,SELF,Bachelors,Married,Sales,Male,>50K
40-55,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,Private,High-School diploma,Married,Other-service,Male,<=50K
25-39,Private,X,Single,Machine-op-inspct,Female,<=50K
25-39,GOV,Bachelors,Single,Prof-specialty,Male,<=50K
