age,workclass,education,marital,occupation,relationship,race,gender,income
25-39,Private,High-School diploma,Single,Other-service,Random,Random,Female,<=50K
25-39,SELF,High-School diploma,Married,Farming-fishing,Random,Random,Male,>50K
40-55,Private,Bachelors,Single,Machine-op-inspct,Random,Random,Male,<=50K
40-55,Private,Associate/Prof,Married,Exec-managerial,Random,Random,Male,>50K
40-55,SELF,Associate/Prof,Married,Farming-fishing,Random,Random,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Random,Random,Male,<=50K
25-39,Private,X,Single,Exec-managerial,Random,Random,Female,<=50K
25-39,Private,Bachelors,Single,Craft-repair,Random,Random,Male,<=50K
40-55,SELF,Masters,Married,Exec-managerial,Random,Random,Male,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Random,Random,Female,<=50K
<25,Private,High-School diploma,Single,Craft-repair,Random,Random,Male,<=50K
40-55,SELF,High-School diploma,Single,Sales,Random,Random,Male,<=50K
40-55,Private,Bachelors,Married,Craft-repair,Random,Random,Male,<=50K
<25,GOV,Bachelors,Married,Protective-serv,Random,Random,Male,<=50K
<25,Private,High-School diploma,Single,Farming-fishing,Random,Random,Male,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Random,Random,Female,<=50K
<25,Private,X,Single,Adm-clerical,Random,Random,Male,<=50K
25-39,Private,Bachelors,Married,Prof-specialty,Random,Random,Male,>50K
<25,Private,Bachelors,Single,Sales,Random,Random,Female,<=50K
25-39,SELF,Bachelors,Married,Prof-specialty,Random,Random,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Random,Random,Male,>50K
56-67,Private,High-School diploma,Married,Sales,Random,Random,Male,<=50K
25-39,GOV,Bachelors,Single,Exec-managerial,Random,Random,Male,<=50K
<25,Private,X,Single,Craft-repair,Random,Random,Male,<=50K
40-55,GOV,Associate/Prof,Married,Protective-serv,Random,Random,Male,>50K
40-55,Private,High-School diploma,Married,Exec-managerial,Random,Random,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Random,Random,Male,>50K
