age,workclass,education,marital,occupation,relationship,race,gender,income
62-77,Private,Assoc-voc,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Private,11th,Random2,Other-service,Random0,Random2,Male,<=50K
32-47,Private,Some-college,Random2,Prof-specialty,Random0,Random2,Male,>50K
47-62,Private,Bachelors,Random2,Sales,Random0,Random2,Male,>50K
17-32,Private,Some-college,Random2,Sales,Random0,Random2,Female,<=50K
17-32,Private,Bachelors,Random2,Sales,Random0,Random2,Male,<=50K
32-47,Private,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
32-47,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Private,Some-college,Random2,Exec-managerial,Random0,Random2,Male,<=50K
17-32,Private,9th,Random2,Handlers-cleaners,Random1,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Private,Prof-school,Random2,Prof-specialty,Random0,Random2,Male,>50K
32-47,Self-emp-inc,Some-college,Random2,Sales,Random0,Random2,Male,>50K
32-47,Private,Bachelors,Random2,Exec-managerial,Random1,Random2,Female,<=50K
32-47,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,>50K
47-62,Self-emp-inc,Bachelors,Random2,Adm-clerical,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Farming-fishing,Random0,Random2,Male,<=50K
47-62,Private,Some-college,Random2,Tech-support,Random0,Random2,Male,<=50K
32-47,Private,HS-grad,Random2,Tech-support,Random1,Random2,Female,<=50K
17-32,Federal-gov,Bachelors,Random2,Exec-managerial,Random0,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Adm-clerical,Random0,Random2,Male,<=50K
32-47,Private,HS-grad,Random2,Adm-clerical,Random1,Random2,Female,<=50K
32-47,Private,7th-8th,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
32-47,Private,Assoc-voc,Random2,Craft-repair,Random0,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Adm-clerical,Random0,Random2,Male,<=50K
47-62,Private,9th,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
17-32,Local-gov,Some-college,Random2,Adm-clerical,Random0,Random2,Female,<=50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,>50K
17-32,Private,1st-4th,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
47-62,Self-emp-not-inc,7th-8th,Random2,Other-service,Random0,Random2,Female,<=50K
32-47,Private,Assoc-voc,Random2,Sales,Random0,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Machine-op-inspct,Random0,Random2,Female,<=50K
32-47,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Self-emp-inc,Bachelors,Random2,Sales,Random0,Random2,Male,>50K
62-77,Private,Masters,Random2,Adm-clerical,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
17-32,Private,11th,Random2,Sales,Random0,Random2,Female,<=50K
32-47,Private,Assoc-voc,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Local-gov,Masters,Random2,Prof-specialty,Random1,Random2,Female,<=50K
32-47,Private,Masters,Random2,Adm-clerical,Random0,Random2,Male,>50K
17-32,Local-gov,11th,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Male,>50K
32-47,Self-emp-inc,HS-grad,Random2,Craft-repair,Random0,Random2,Male,>50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,>50K
32-47,Self-emp-not-inc,Prof-school,Random2,Prof-specialty,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Male,>50K
32-47,Local-gov,Bachelors,Random2,Prof-specialty,Random0,Random2,Male,<=50K
32-47,Self-emp-inc,HS-grad,Random2,Sales,Random0,Random2,Male,<=50K
47-62,Private,Some-college,Random2,Prof-specialty,Random0,Random2,Male,>50K
32-47,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Female,<=50K
17-32,Federal-gov,Some-college,Random2,Adm-clerical,Random0,Random2,Male,<=50K
32-47,Private,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
47-62,Private,Some-college,Random2,Protective-serv,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Machine-op-inspct,Random1,Random2,Female,<=50K
47-62,Private,Masters,Random2,Exec-managerial,Random0,Random2,Male,<=50K
32-47,Local-gov,Masters,Random2,Exec-managerial,Random1,Random2,Female,<=50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,>50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,<=50K
32-47,Private,7th-8th,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
32-47,Private,Assoc-voc,Random2,Prof-specialty,Random0,Random2,Male,>50K
47-62,Private,Some-college,Random2,Adm-clerical,Random1,Random2,Female,>50K
17-32,Private,Some-college,Random2,Prof-specialty,Random0,Random2,Female,<=50K
62-77,Private,9th,Random2,Transport-moving,Random0,Random2,Male,<=50K
47-62,Private,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
32-47,Private,Some-college,Random2,Transport-moving,Random1,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Male,>50K
47-62,Federal-gov,HS-grad,Random2,Adm-clerical,Random1,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Other-service,Random0,Random2,Female,<=50K
62-77,Private,11th,Random2,Transport-moving,Random0,Random2,Male,<=50K
47-62,State-gov,Bachelors,Random2,Exec-managerial,Random0,Random2,Male,>50K
47-62,Private,11th,Random2,Adm-clerical,Random0,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Other-service,Random0,Random2,Female,<=50K
17-32,Private,Some-college,Random2,Adm-clerical,Random0,Random2,Female,<=50K
32-47,Private,HS-grad,Random2,Other-service,Random1,Random2,Female,<=50K
17-32,Private,Some-college,Random2,Sales,Random0,Random2,Male,<=50K
47-62,Self-emp-not-inc,11th,Random2,Craft-repair,Random0,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Other-service,Random0,Random2,Male,<=50K
32-47,Federal-gov,Bachelors,Random2,Tech-support,Random0,Random2,Male,<=50K
32-47,Self-emp-not-inc,Some-college,Random2,Machine-op-inspct,Random1,Random2,Female,<=50K
17-32,Private,HS-grad,Random2,Craft-repair,Random0,Random2,Male,<=50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,>50K
17-32,Private,Some-college,Random2,Sales,Random1,Random2,Female,<=50K
17-32,Private,HS-grad,Random2,Adm-clerical,Random0,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Other-service,Random0,Random2,Female,<=50K
32-47,Private,10th,Random2,Farming-fishing,Random0,Random2,Male,<=50K
77-90,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Female,<=50K
32-47,Self-emp-not-inc,HS-grad,Random2,Other-service,Random1,Random2,Female,<=50K
47-62,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,>50K
47-62,Self-emp-not-inc,HS-grad,Random2,Sales,Random0,Random2,Female,<=50K
17-32,Private,Bachelors,Random2,Exec-managerial,Random0,Random2,Female,<=50K
17-32,Private,10th,Random2,Other-service,Random0,Random2,Male,<=50K
47-62,Self-emp-not-inc,HS-grad,Random2,Farming-fishing,Random0,Random2,Male,>50K
32-47,Self-emp-inc,Bachelors,Random2,Sales,Random0,Random2,Male,<=50K
32-47,Private,HS-grad,Random2,Machine-op-inspct,Random0,Random2,Male,<=50K
32-47,Federal-gov,11th,Random2,Adm-clerical,Random0,Random2,Female,<=50K
32-47,Private,HS-grad,Random2,Transport-moving,Random1,Random2,Female,<=50K
17-32,Self-emp-not-inc,Some-college,Random2,Sales,Random0,Random2,Male,>50K
17-32,Private,Some-college,Random2,Transport-moving,Random0,Random2,Male,<=50K
17-32,Private,HS-grad,Random2,Handlers-cleaners,Random0,Random2,Male,<=50K
47-62,Private,HS-grad,Random2,Machine-op-inspct,Random0,Random2,Male,<=50K
17-32,Self-emp-not-inc,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Other-service,Random1,Random2,Female,<=50K
32-47,Private,5th-6th,Random2,Other-service,Random0,Random2,Male,<=50K
17-32,Self-emp-not-inc,Some-college,Random2,Sales,Random0,Random2,Female,<=50K
32-47,Private,12th,Random2,Sales,Random0,Random2,Male,>50K
32-47,Private,HS-grad,Random2,Transport-moving,Random0,Random2,Male,<=50K
47-62,Private,11th,Random2,Transport-moving,Random0,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Machine-op-inspct,Random1,Random2,Female,<=50K
47-62,Private,Bachelors,Random2,Exec-managerial,Random0,Random2,Female,>50K
77-90,Private,HS-grad,Random2,Adm-clerical,Random1,Random2,Female,<=50K
47-62,Private,HS-grad,Random2,Sales,Random0,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Prof-specialty,Random0,Random2,Female,<=50K
17-32,Private,Bachelors,Random2,Adm-clerical,Random0,Random2,Female,<=50K
32-47,Private,HS-grad,Random2,Protective-serv,Random0,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Exec-managerial,Random0,Random2,Male,<=50K
32-47,Private,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
17-32,Private,HS-grad,Random2,Other-service,Random0,Random2,Female,<=50K
17-32,Private,Some-college,Random2,Adm-clerical,Random0,Random2,Female,<=50K
17-32,Private,Some-college,Random2,Adm-clerical,Random0,Random2,Female,<=50K
47-62,Self-emp-not-inc,HS-grad,Random2,Farming-fishing,Random0,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Sales,Random0,Random2,Male,<=50K
32-47,Local-gov,Some-college,Random2,Tech-support,Random1,Random2,Female,<=50K
17-32,Private,11th,Random2,Craft-repair,Random0,Random2,Male,<=50K
32-47,Private,Prof-school,Random2,Prof-specialty,Random0,Random2,Female,>50K
47-62,Private,7th-8th,Random2,Machine-op-inspct,Random0,Random2,Male,<=50K
17-32,Private,Some-college,Random2,Sales,Random0,Random2,Male,<=50K
32-47,Private,Bachelors,Random2,Prof-specialty,Random0,Random2,Male,>50K
62-77,Self-emp-not-inc,Prof-school,Random2,Prof-specialty,Random0,Random2,Male,>50K
17-32,Private,Some-college,Random2,Adm-clerical,Random0,Random2,Female,<=50K
47-62,Private,Assoc-voc,Random2,Sales,Random0,Random2,Male,>50K
32-47,Local-gov,10th,Random2,Other-service,Random1,Random2,Female,<=50K
47-62,Private,Some-college,Random2,Craft-repair,Random0,Random2,Male,>50K
32-47,Self-emp-not-inc,Some-college,Random2,Other-service,Random0,Random2,Male,<=50K
32-47,Private,Prof-school,Random2,Prof-specialty,Random0,Random2,Male,>50K
