age,workclass,education,marital,occupation,relationship,race,gender,income
17-90,Random0,Bachelors,Random3,Exec-managerial,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Other-service,Not-in-family,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Craft-repair,Not-in-family,Random2,Male,<=50K
17-90,Random0,Assoc-voc,Random3,Craft-repair,Husband,Random2,Male,<=50K
17-90,Random0,Masters,Random3,Prof-specialty,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Sales,Own-child,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Adm-clerical,Not-in-family,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Adm-clerical,Unmarried,Random2,Female,<=50K
17-90,Random0,HS-grad,Random3,Prof-specialty,Husband,Random2,Male,>50K
17-90,Random0,Bachelors,Random3,Prof-specialty,Other-relative,Random2,Female,>50K
17-90,Random0,HS-grad,Random3,Craft-repair,Unmarried,Random2,Male,<=50K
17-90,Random0,Masters,Random3,Prof-specialty,Husband,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Adm-clerical,Not-in-family,Random2,Female,<=50K
17-90,Random0,7th-8th,Random3,Other-service,Own-child,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Handlers-cleaners,Husband,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Transport-moving,Husband,Random2,Male,<=50K
17-90,Random0,Masters,Random3,Other-service,Husband,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Prof-specialty,Wife,Random2,Female,>50K
17-90,Random0,HS-grad,Random3,Handlers-cleaners,Not-in-family,Random2,Male,<=50K
17-90,Random0,Some-college,Random3,Adm-clerical,Own-child,Random2,Female,<=50K
17-90,Random0,HS-grad,Random3,Adm-clerical,Not-in-family,Random2,Female,<=50K
17-90,Random0,Bachelors,Random3,Prof-specialty,Unmarried,Random2,Male,<=50K
17-90,Random0,11th,Random3,Machine-op-inspct,Not-in-family,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Protective-serv,Husband,Random2,Male,<=50K
17-90,Random0,Some-college,Random3,Transport-moving,Husband,Random2,Male,<=50K
17-90,Random0,Prof-school,Random3,Prof-specialty,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Adm-clerical,Other-relative,Random2,Female,<=50K
17-90,Random0,HS-grad,Random3,Transport-moving,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Exec-managerial,Not-in-family,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Other-service,Husband,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Prof-specialty,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Exec-managerial,Not-in-family,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Other-service,Own-child,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Machine-op-inspct,Other-relative,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Tech-support,Husband,Random2,Male,>50K
17-90,Random0,Some-college,Random3,Exec-managerial,Own-child,Random2,Female,<=50K
17-90,Random0,9th,Random3,Handlers-cleaners,Husband,Random2,Male,>50K
17-90,Random0,HS-grad,Random3,Farming-fishing,Husband,Random2,Male,>50K
17-90,Random0,Bachelors,Random3,Sales,Husband,Random2,Male,<=50K
17-90,Random0,Masters,Random3,Prof-specialty,Unmarried,Random2,Female,<=50K
17-90,Random0,Some-college,Random3,Exec-managerial,Own-child,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Craft-repair,Not-in-family,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Adm-clerical,Not-in-family,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Exec-managerial,Husband,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Craft-repair,Husband,Random2,Male,<=50K
17-90,Random0,Some-college,Random3,Prof-specialty,Own-child,Random2,Female,<=50K
17-90,Random0,Some-college,Random3,Craft-repair,Husband,Random2,Male,>50K
17-90,Random0,HS-grad,Random3,Craft-repair,Not-in-family,Random2,Male,<=50K
17-90,Random0,Some-college,Random3,Prof-specialty,Not-in-family,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Other-service,Husband,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Prof-specialty,Not-in-family,Random2,Male,<=50K
17-90,Random0,Assoc-acdm,Random3,Tech-support,Not-in-family,Random2,Female,<=50K
17-90,Random0,HS-grad,Random3,Other-service,Own-child,Random2,Male,<=50K
17-90,Random0,12th,Random3,Other-service,Own-child,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Adm-clerical,Unmarried,Random2,Male,<=50K
17-90,Random0,HS-grad,Random3,Farming-fishing,Unmarried,Random2,Male,<=50K
17-90,Random0,Bachelors,Random3,Craft-repair,Not-in-family,Random2,Male,<=50K
17-90,Random0,9th,Random3,Handlers-cleaners,Own-child,Random2,Male,<=50K
