age,workclass,education,marital,occupation,relationship,race,gender,income
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
51,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
21,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,<=50K
29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
58,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
51,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
24,Private,HS-grad,Never-married,Sales,Own-child,White,Male,<=50K
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
23,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,<=50K
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
23,Private,Some-college,Never-married,Other-service,Unmarried,White,Female,<=50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
35,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,>50K
40,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
20,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,<=50K
22,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
34,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<=50K
45,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
53,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
23,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
17,Private,11th,Never-married,Sales,Not-in-family,White,Female,<=50K
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
