age,workclass,education,income
"[30, 40[",Private,{Some-college},>50K
"[40, 50[",Local-gov,"{Bachelors, Doctorate, HS-grad}",<=50K
"[60, 70[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[30, 40[",Federal-gov,"{Bachelors, Doctorate, HS-grad}",>50K
"[10, 20[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[50, 60[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[20, 30[",Private,"{10th, 11th, 12th}",<=50K
*,*,*,*
*,*,*,*
"[60, 70[",Self-emp-not-inc,{Some-college},<=50K
"[10, 20[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[20, 30[",Private,{Some-college},<=50K
"[40, 50[",Private,"{Masters, Preschool, Prof-school}",>50K
"[20, 30[",Private,"{9th, Assoc-acdm, Assoc-voc}",<=50K
"[50, 60[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[30, 40[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[40, 50[",Private,{Some-college},<=50K
"[30, 40[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
*,*,*,*
"[30, 40[",Private,"{Bachelors, Doctorate, HS-grad}",>50K
"[20, 30[",Private,"{10th, 11th, 12th}",<=50K
*,*,*,*
"[40, 50[",Federal-gov,"{Bachelors, Doctorate, HS-grad}",>50K
"[30, 40[",Private,{Some-college},<=50K
"[30, 40[",Private,{Some-college},<=50K
"[50, 60[",Self-emp-not-inc,"{10th, 11th, 12th}",<=50K
"[50, 60[",State-gov,"{Bachelors, Doctorate, HS-grad}",<=50K
"[40, 50[",Private,"{Bachelors, Doctorate, HS-grad}",>50K
"[50, 60[",Private,{Some-college},<=50K
"[40, 50[",Private,"{Masters, Preschool, Prof-school}",>50K
"[30, 40[",Self-emp-inc,"{Bachelors, Doctorate, HS-grad}",>50K
"[30, 40[",Federal-gov,{Some-college},<=50K
"[20, 30[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[30, 40[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[40, 50[",Local-gov,"{Bachelors, Doctorate, HS-grad}",<=50K
"[50, 60[",Private,"{Bachelors, Doctorate, HS-grad}",>50K
"[40, 50[",Self-emp-inc,"{Bachelors, Doctorate, HS-grad}",>50K
"[30, 40[",Private,"{Bachelors, Doctorate, HS-grad}",<=50K
"[20, 30[",Federal-gov,"{Bachelors, Doctorate, HS-grad}",<=50K
"[60, 70[",Private,"{10th, 11th, 12th}",<=50K
